sim-id,trigtime,ra,dec,H1-snr,L1-snr,V1-snr,snr,npix,logZ-tensor-R-1,logZ-err-tensor-R-1,logZ-tensor-N-0,logZ-err-tensor-N-0,logZ-vector-R-1,logZ-err-vector-R-1,logZ-vector-N-0,logZ-err-vector-N-0,logZ-scalar-N-0,logZ-err-scalar-N-0,logZ-scalar-P-1,logZ-err-scalar-P-1
0,966384130.7140256,4.566311836000001,-1.34117198,13.81576062,10.40090608,9.851125752,19.902230211105522,75,-9.170297408768727,0.0768407655235597,-6.3463215049969675,0.021633861917865697,-9.800020404389137,0.0830911944697018,-6.291302856345408,0.02502613489224158,-13.488534588385198,0.044343396988173,-9.152039154473584,0.05813022822956112
1,966384876.1370648,0.5138322710000001,0.275454491,14.354084287000001,16.872978883,14.64063296,26.553442066404546,92,-9.67611100163447,0.051802079553975915,-7.291574949245962,0.02872599317642703,-36.31875240488833,0.20250899300946373,-8.395977867080887,0.04528923588746598,-16.96177131985136,0.07334837125242391,-9.98774751251147,0.05426008988294258
2,966385695.0861443,2.9753379819999997,0.2969096,26.732328664,10.287628978999999,7.763478084,29.67699947384211,86,-12.146723627684759,0.050838382691524325,-6.530267659062643,0.023807482991968665,-10.748191756753211,0.04962962705465662,-6.777240432457953,0.017619972076902215,-13.662627730818608,0.033150160647276446,-6.498287235365242,0.01278936176731149
3,966386622.0088493,4.524222851,0.46986758700000003,12.46037609,15.006238117999999,6.300874997999999,20.49754084027597,91,-10.381379132220127,0.03237440555977654,-6.585159551103471,0.021316824544512534,-10.562043767625616,0.038572304913271474,-7.056186869216667,0.020182771390551236,-10.025693999520628,0.05479574069627497,-7.843536017434155,0.010533328229794041
4,966387376.3090851,2.115628004,0.8671010729999999,14.995381123,11.060910140999999,7.887961799,20.234256337058316,76,-8.376370025950953,0.033352763600547286,-7.200160766779093,0.025445467451083222,-9.178747511993093,0.08527670650273193,-6.56854714157153,0.02330451249736485,-13.453689782312246,0.04000324274907158,-8.55153428217376,0.03231637699289455
5,966388392.1611309,0.816278517,1.0722539420000001,8.721350368,6.946231504,15.886048996,19.40821055769667,67,-11.101919110539248,0.10744974811238814,-6.700898237899052,0.02286720666878364,-18.32048765987595,0.08039533270194749,-8.106986060177158,0.028960067669471515,-13.62023131400971,0.0716671345159594,-8.81711520618266,0.02795966497560688
6,966389149.6836656,5.126654148,1.3677810430000001,15.236464690999998,14.165119932,5.058505378,21.410019981945094,75,-10.31333743418629,0.043458126534001384,-6.576515933219359,0.01817158201184643,-9.758025188063714,0.021736692123943024,-6.878155063112271,0.02186093257485537,-10.498450018619545,0.05538050335097493,-4.986370605859994,0.010385726372034488
7,966390054.0539733,0.269400686,0.622580528,4.720157867,8.79980631,16.655885632,19.419964149533897,74,-12.092591319416362,0.10241103497350251,-6.6066252043379885,0.018366970994179894,-15.474656639488314,0.08432722277877482,-7.3385046514717445,0.017429484401336792,-12.621092016910685,0.028821406486167933,-7.787368519985303,0.013794741596528758
8,966390815.2299151,2.036648989,-0.331694186,11.40844903,17.537199813,7.642809291,22.27372039893181,70,-8.94715096314023,0.05291256402907378,-6.369176104988403,0.02184862863323728,-12.109435715114442,0.038606717823680296,-6.763507221207379,0.024966284952496573,-8.658344717470763,0.035665160758906744,-6.001109794955459,0.013533302680366925
9,966391727.9693226,2.344242096,0.890730798,17.224319614000002,14.015907823,9.424697417,24.123593838192193,79,-9.196160426102953,0.09056225200728614,-7.441011688509085,0.03334083294575049,-8.97824233866303,0.06265556792415657,-6.4432631876884185,0.02198363938581239,-16.108244042413528,0.07200926965589563,-8.52934878743427,0.037084318676961166
